iter,time,Atmosphere0,Atmosphere1,Atmosphere2,Oceans0,Oceans1,Oceans2,OCrust0,OCrust1,OCrust2,UMantle0,UMantle1,UMantle2,LMantle0,LMantle1,LMantle2,CCrust0,CCrust1,CCrust2,AbioticFixation0,AbioticFixation1,FreundlichAdsorption0,HydrothermalCirculation0,HydrothermalCirculation1,Subduction0,Volcanism0,Volcanism1,Volcanism2,Convection0,Erosion0,Erosion1,Henry0,Henry1
0,0,7e+17,0,0,1e+16,1e+17,1.9e+17,0,0,1e+17,0,0,1.99e+19,0,0,1.19e+19,0,0,1e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,2.3876926e+18,0,0,1.0696126e+16,6.9445945e+16,4.8309631e+18,0,0,3.851037e+18,0,0,8.5298332e+18,0,0,1.3293425e+19,0,0,9.2690755e+17,2.387372e+10,9549464.1,2.8766954e+11,2.0827827e+10,3207984.1,3.6573016e+10,1.1946353e+11,4.7785412e+11,9.3053921e+10,9.4490002e+10,8.1229088e+09,0.024264533,4.2976512e+08,1
4000,20,2.9695532e+18,0,0,1.330463e+16,9.3728322e+16,7.1593072e+18,0,0,5.7091592e+18,0,0,4.3991665e+18,0,0,1.2683267e+19,0,0,8.7251378e+17,2.9695874e+10,11878320,1.9639722e+11,2.8112374e+10,3990643.5,5.4230395e+10,6.1605189e+10,2.4642076e+11,8.8786432e+10,-1.2958141e+10,7.646186e+09,0.0285312,1.4633694e+08,1
6000,30,3.1516781e+18,0,0,1.4121181e+16,1.0340165e+17,8.5800429e+18,0,0,6.842779e+18,0,0,2.859277e+18,0,0,1.151913e+19,0,0,8.2957016e+17,3.1518406e+10,12607331,1.6191033e+11,3.1013535e+10,4235450.4,6.500196e+10,4.0036324e+10,1.601453e+11,8.0638241e+10,-4.3094888e+10,7.2698229e+09,0.032797867,42186020,1
8000,40,3.1854359e+18,0,0,1.4272634e+16,1.0596556e+17,9.597685e+18,0,0,7.6546716e+18,0,0,2.2527421e+18,0,0,1.0294444e+19,0,0,7.9478343e+17,3.1856446e+10,12742547,1.4774419e+11,3.178108e+10,4280650.9,7.2715998e+10,3.1541059e+10,1.2616423e+11,7.2065268e+10,-4.6853733e+10,6.9649502e+09,0.037064533,2809737.2,1
10000,50,3.1622113e+18,0,0,1.4168652e+16,1.0575556e+17,1.0402181e+19,0,0,8.296472e+18,0,0,1.9875257e+18,0,0,9.1653323e+18,0,0,7.6635323e+17,3.1624359e+10,12649712,1.4107289e+11,3.1716233e+10,4249204.7,7.8813724e+10,2.7826628e+10,1.1130651e+11,6.4161049e+10,-4.2213762e+10,6.7157868e+09,0.0413312,-12761533,1
12000,60,3.1160277e+18,0,0,1.3961754e+16,1.0444855e+17,1.107072e+19,0,0,8.8297943e+18,0,0,1.8513806e+18,0,0,8.170565e+18,0,0,7.431019e+17,3.1162564e+10,12464994,1.372995e+11,3.1322276e+10,4186886.7,8.3880718e+10,2.5920049e+10,1.0368019e+11,5.7197197e+10,-3.543789e+10,6.5120112e+09,0.045597867,-19270121,1
14000,70,3.0601719e+18,0,0,1.3711502e+16,1.0268807e+17,1.1639034e+19,0,0,9.2831565e+18,0,0,1.7675703e+18,0,0,7.3095154e+18,0,0,7.2415249e+17,3.0604001e+10,12241570,1.3475448e+11,3.0792333e+10,4111570.9,8.8187995e+10,2.4746468e+10,9.8985871e+10,5.1169401e+10,-2.8635163e+10,6.3459373e+09,0.049864533,-22088645,1
16000,80,3.0002961e+18,0,0,1.3443228e+16,1.0073686e+17,1.2126946e+19,0,0,9.6723779e+18,0,0,1.7078054e+18,0,0,6.5695915e+18,0,0,7.0880274e+17,3.0005216e+10,12002056,1.3281542e+11,3.0205249e+10,4030859.4,9.1885876e+10,2.3909641e+10,9.5638563e+10,4.5989536e+10,-2.2452098e+10,6.2114106e+09,0.0541312,-23230322,1
18000,90,2.9391288e+18,0,0,1.3169163e+16,9.8714597e+16,1.2547634e+19,0,0,1.0007972e+19,0,0,1.6611989e+18,0,0,5.9357123e+18,0,0,6.9647045e+17,2.9393505e+10,11757372,1.3123687e+11,2.9596924e+10,3948420.9,9.5074251e+10,2.3257077e+10,9.3028307e+10,4.1552036e+10,-1.702909e+10,6.1033287e+09,0.058397867,-23493860,1
20000,100,2.8781902e+18,0,0,1.2896121e+16,9.6683981e+16,1.2911062e+19,0,0,1.0297888e+19,0,0,1.6231831e+18,0,0,5.3934309e+18,0,0,6.8666577e+17,2.8784075e+10,11513601,1.2991103e+11,2.8986171e+10,3866299,9.7828652e+10,2.2724805e+10,9.0899219e+10,3.775577e+10,-1.2339038e+10,6.0173986e+09,0.062664533,-23230568,1
22000,110,2.8184337e+18,0,0,1.2628373e+16,9.468257e+16,1.3225325e+19,0,0,1.0548583e+19,0,0,1.5915439e+18,0,0,4.9298297e+18,0,0,6.7897409e+17,2.8186464e+10,11274557,1.2878206e+11,2.838425e+10,3785775,1.0021043e+11,2.2281818e+10,8.9127271e+10,3.4510306e+10,-8.3061624e+09,5.9499867e+09,0.0669312,-22620092,1
24000,120,2.7605002e+18,0,0,1.2368792e+16,9.2734982e+16,1.3497224e+19,0,0,1.0765483e+19,0,0,1.5649928e+18,0,0,4.5336522e+18,0,0,6.7304389e+17,2.760708e+10,11042804,1.2781502e+11,2.7798539e+10,3707709.2,1.0227113e+11,2.1910069e+10,8.7640276e+10,3.1736846e+10,-4.8467844e+09,5.8980124e+09,0.071197867,-21770695,1
26000,130,2.7048289e+18,0,0,1.2119347e+16,9.0858008e+16,1.3732563e+19,0,0,1.0953218e+19,0,0,1.5426445e+18,0,0,4.1951909e+18,0,0,6.6857711e+17,2.7050319e+10,10820101,1.2698461e+11,2.7234071e+10,3632691.7,1.0405475e+11,2.1597167e+10,8.6388668e+10,2.936743e+10,-1.8825001e+09,5.8588635e+09,0.075464533,-20756694,1
28000,140,2.6517157e+18,0,0,1.1881362e+16,8.9063056e+16,1.3936324e+19,0,0,1.1115764e+19,0,0,1.5238213e+18,0,0,3.9061096e+18,0,0,6.6532124e+17,2.6519139e+10,10607629,1.2627072e+11,2.669426e+10,3561119.1,1.0559904e+11,2.1333619e+10,8.5334477e+10,2.7343701e+10,6.5627352e+08,5.830327e+09,0.0797312,-19633238,1
30000,150,2.6013472e+18,0,0,1.1655676e+16,8.7357539e+16,1.4112799e+19,0,0,1.1256542e+19,0,0,1.5079729e+18,0,0,3.659263e+18,0,0,6.630626e+17,2.6015408e+10,10406137,1.2565668e+11,2.6181324e+10,3493241.6,1.0693653e+11,2.1111722e+10,8.4446887e+10,2.5615638e+10,2.8300264e+09,5.8105302e+09,0.083997867,-18442790,1
32000,160,2.5538263e+18,0,0,1.1442747e+16,8.5745799e+16,1.4265688e+19,0,0,1.1378505e+19,0,0,1.4946405e+18,0,0,3.4485313e+18,0,0,6.6162064e+17,2.5540153e+10,10216036,1.2512837e+11,2.5696558e+10,3429196.5,1.0809526e+11,2.0925052e+10,8.3700209e+10,2.41404e+10,4.6909068e+09,5.7978909e+09,0.088264533,-17218444,1
34000,170,2.5091897e+18,0,0,1.1242743e+16,8.4229791e+16,1.4398183e+19,0,0,1.1484199e+19,0,0,1.4834373e+18,0,0,3.2686758e+18,0,0,6.6084311e+17,2.5093744e+10,10037473,1.2467374e+11,2.5240544e+10,3369032.7,1.0909942e+11,2.0768194e+10,8.3072777e+10,2.2881311e+10,6.2837163e+09,5.7910746e+09,0.0925312,-15985968,1
36000,180,2.4674239e+18,0,0,1.1055601e+16,8.2809617e+16,1.4513039e+19,0,0,1.1575822e+19,0,0,1.4740356e+18,0,0,3.1152124e+18,0,0,6.6060183e+17,2.4676045e+10,9870393.2,1.2428244e+11,2.4813307e+10,3312731.1,1.0996991e+11,2.0636559e+10,8.2546237e+10,2.1806983e+10,7.6468892e+09,5.7889582e+09,0.096797867,-14765243,1
38000,190,2.4284764e+18,0,0,1.0881087e+16,8.1483958e+16,1.4612635e+19,0,0,1.1655273e+19,0,0,1.4661572e+18,0,0,2.9843042e+18,0,0,6.6078917e+17,2.428653e+10,9714587.9,1.2394562e+11,2.4414445e+10,3260220.5,1.1072474e+11,2.0526252e+10,8.2105007e+10,2.0890552e+10,8.8133763e+09,5.7905983e+09,0.10106453,-13571374,1
40000,200,2.3922657e+18,0,0,1.0718836e+16,8.0250421e+16,1.4699027e+19,0,0,1.1724189e+19,0,0,1.459566e+18,0,0,2.8726682e+18,0,0,6.6131497e+17,2.3924386e+10,9569730.6,1.2365564e+11,2.4043237e+10,3211391,1.1137949e+11,2.0433965e+10,8.1735862e+10,2.0109038e+10,9.8114186e+09,5.7952046e+09,0.1053312,-12415589,1
